square_catalog_object_id,example_name,ignored_lines,first_seen,last_seen,has_inventory_mapping,mapped_inventory_item_id,mapped_inventory_item_name,mapped_inventory_created_at,note,suggested_inventory_item_id,suggested_inventory_item_name,suggested_inventory_square_item_id,suggested_score
GQYBV3WA3KHX3BQPUB2PDJFL,Water Small Bottle,260,2025-11-19T03:07:58.156181+00:00,2025-12-11T21:12:28.276604+00:00,false,,,,No inventory item maps to this Square catalog ID,1e3ed929-247b-40e0-b8f5-8dd879052ec0,Smart Water - 1L Bottle,IMAWFNZY6MKEFV7CSRSLNDU3,0.7500
KHNRZB3E3T2UEPQX6UVRWT5F,Water Big Bottle,172,2025-11-19T03:08:07.473794+00:00,2025-12-11T21:12:18.047854+00:00,false,,,,No inventory item maps to this Square catalog ID,1e3ed929-247b-40e0-b8f5-8dd879052ec0,Smart Water - 1L Bottle,IMAWFNZY6MKEFV7CSRSLNDU3,0.6000
5HSSTPYIBZFN42HMVAWWJXQB,Cafe Latte,125,2025-11-19T03:08:27.885827+00:00,2025-12-11T21:12:27.945918+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
NNUSJ5JFZ7JJURTN76IUYSO3,Freshly Brewed Coffee,113,2025-11-19T03:08:09.625606+00:00,2025-12-11T21:12:28.443059+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
R4ZZKRPHP7PDTHAIT2YVVB7Q,Chocolate Croissant,110,2025-11-19T03:07:58.887842+00:00,2025-12-11T21:07:26.833712+00:00,false,,,,No inventory item maps to this Square catalog ID,fd7c8ff5-1852-4cbb-93f6-2687da5ee992,Chocolate Croissant,BRYU2UUL57H652LOQ2IBBPPS,1.0000
R4ZZKRPHP7PDTHAIT2YVVB7Q,Chocolate Croissant,110,2025-11-19T03:07:58.887842+00:00,2025-12-11T21:07:26.833712+00:00,false,,,,No inventory item maps to this Square catalog ID,fdeaf9a3-9e77-4785-956f-71bc43019ea2,Danish Chocolate,QOH4PJDWEGNYEI4ESDKMEHFQ,0.6452
R4ZZKRPHP7PDTHAIT2YVVB7Q,Chocolate Croissant,110,2025-11-19T03:07:58.887842+00:00,2025-12-11T21:07:26.833712+00:00,false,,,,No inventory item maps to this Square catalog ID,76cb82b1-b25c-448e-9937-eaebc2c9449e,Croissant,7752NQDQLEPMUMRWBRB344YV,0.6400
MU5SB47OQSTNXFEBXY6ZPWGK,Americano,110,2025-11-19T03:08:02.667322+00:00,2025-12-11T21:12:21.514292+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
HY7ALINY64H7EA7MD6Y66QNT,Freshly Brewed Coffee,102,2025-11-19T03:08:02.113462+00:00,2025-12-11T21:12:28.109525+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
Z6RJHONBQJ3PWRJEDFHPFFUP,Cafe Latte,93,2025-11-19T03:08:01.20864+00:00,2025-12-11T21:12:25.872442+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
2EWFTLWL7656HZF45IUOILF4,Blueberry Muffin,91,2025-11-19T03:08:07.473794+00:00,2025-12-11T21:12:28.599872+00:00,false,,,,No inventory item maps to this Square catalog ID,9f432deb-2e91-416c-87b8-0a72b76ef361,Blueberry Muffin,ZKYQQBCOC2IP72MQ3HXAUHVH,1.0000
TVNZEYCDV6HESMX3GARWG2GC,Coke Zero,88,2025-11-19T03:08:34.182689+00:00,2025-12-11T21:12:26.546629+00:00,false,,,,No inventory item maps to this Square catalog ID,29721600-5fad-410f-bdbd-b8a8c255f74d,Coke Zero - can - 12 oz,PQZ2J5TDBGEG5C6ATNK2RL4Z,0.6667
ZUBXJUTF2OUCO6P6DQHEJGJW,Caramel Frappuccino,87,2025-11-19T03:08:01.493131+00:00,2025-12-11T21:12:17.539326+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
P7BRUZJ6HLTO675QFJVX7X5J,Gatorade,86,2025-11-19T03:08:06.61663+00:00,2025-12-11T21:12:28.899008+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
7AQ2O7CEJT2753WSQZSPJ5RF,Mini Soda Can,82,2025-11-19T03:07:57.812668+00:00,2025-12-11T21:12:22.701847+00:00,false,,,,No inventory item maps to this Square catalog ID,84d0866f-dac4-4619-bd79-b2c1a40b99ea,Mini Soda Can - assorted,77RDGI3SQOEQWSFJOB5LFIG3,0.7143
7AQ2O7CEJT2753WSQZSPJ5RF,Mini Soda Can,82,2025-11-19T03:07:57.812668+00:00,2025-12-11T21:12:22.701847+00:00,false,,,,No inventory item maps to this Square catalog ID,0f211e2d-2c65-4f6a-8380-e3ad53fa9c85,Mini Danish,EBMUUXZVYNERLCRTCBWGUQYY,0.6316
HDGHSFJOBTZ3TNCJVNDFZFFB,Caramel Macchiato,82,2025-11-19T03:08:12.052103+00:00,2025-12-11T21:12:21.054779+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
I6ATU46TLCIHM24OXD7MHXQC,Almond Croissant,79,2025-11-19T03:08:12.052103+00:00,2025-12-11T21:12:22.365626+00:00,false,,,,No inventory item maps to this Square catalog ID,e86e0d92-c41a-4023-bfc4-df611edcedf6,Almond Croissant,2E4GJ4TJTEBMBLCPEFEQ5GFL,1.0000
I6ATU46TLCIHM24OXD7MHXQC,Almond Croissant,79,2025-11-19T03:08:12.052103+00:00,2025-12-11T21:12:22.365626+00:00,false,,,,No inventory item maps to this Square catalog ID,76cb82b1-b25c-448e-9937-eaebc2c9449e,Croissant,7752NQDQLEPMUMRWBRB344YV,0.7273
5RVXX2O2ZBL4K2OSF3N4KRDL,Raspberry Croissant,78,2025-11-19T03:07:59.918033+00:00,2025-12-11T21:12:23.573506+00:00,false,,,,No inventory item maps to this Square catalog ID,b7c15ca7-95ef-43ce-b1ab-331d4dce2418,Raspberry Croissant,FCDUEMQ2Q22KT6KVDMIJ67JD,1.0000
5RVXX2O2ZBL4K2OSF3N4KRDL,Raspberry Croissant,78,2025-11-19T03:07:59.918033+00:00,2025-12-11T21:12:23.573506+00:00,false,,,,No inventory item maps to this Square catalog ID,54d6cc66-96a0-4dcb-afe2-7254e9f6b7fe,Danish Raspberry,QPQFKC2N2ORJVTQMEPLFQEWW,0.6452
5RVXX2O2ZBL4K2OSF3N4KRDL,Raspberry Croissant,78,2025-11-19T03:07:59.918033+00:00,2025-12-11T21:12:23.573506+00:00,false,,,,No inventory item maps to this Square catalog ID,fc8bbbd9-553c-4ca9-bd88-f2c4acabf715,Savory Croissant,TURPYHLRNRP4Y4E4DQILDFR4,0.6452
BHLHA2R2BYN5XNHGKALMUCKY,White Chocolate Mocha,74,2025-11-19T03:07:58.723063+00:00,2025-12-11T21:07:26.390554+00:00,false,,,,No inventory item maps to this Square catalog ID,97d47a35-f0ef-4e53-8630-f1a8e551cc1e,Chocolate Chip Cookie,6R5JFN2XMGWRZDL2SP5I53JB,0.6111
BHLHA2R2BYN5XNHGKALMUCKY,White Chocolate Mocha,74,2025-11-19T03:07:58.723063+00:00,2025-12-11T21:07:26.390554+00:00,false,,,,No inventory item maps to this Square catalog ID,36a6f992-17e9-42b5-a4e5-705ee0478d6a,Chocolate chip cookie,JA4UR77EH3PVQSR3GPQYROPX,0.6111
SJWFIP3TJVACW2XQZ5NZAP2Z,Americano,73,2025-11-19T03:08:22.035385+00:00,2025-12-11T21:12:18.191927+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
M2JVUY6GF7BJH6CPMP6KKVVH,Chocolate Muffin,65,2025-11-19T03:07:57.993981+00:00,2025-12-11T21:12:26.244911+00:00,false,,,,No inventory item maps to this Square catalog ID,43bbf682-f0af-43fe-b756-5f2ed46ff274,Chocolate Muffin,OIF7WKM6KSTIGEGL27ICCFES,1.0000
VKYJBFHYDZYOKX5LGQBRH62R,Berry Peachy Lotus,63,2025-11-19T03:08:16.555508+00:00,2025-12-11T21:12:25.717905+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
XQQYMBZAFSPYS3U27BA7ZZ76,Butter Croissant,61,2025-11-19T03:08:14.154553+00:00,2025-12-11T21:07:05.703661+00:00,false,,,,No inventory item maps to this Square catalog ID,464e3d80-e704-4213-a46f-b4e44e57a043,Butter Croissant,ELAA3YKAUSRQH2R55N4NS6VX,1.0000
XQQYMBZAFSPYS3U27BA7ZZ76,Butter Croissant,61,2025-11-19T03:08:14.154553+00:00,2025-12-11T21:07:05.703661+00:00,false,,,,No inventory item maps to this Square catalog ID,76cb82b1-b25c-448e-9937-eaebc2c9449e,Croissant,7752NQDQLEPMUMRWBRB344YV,0.7273
PH2C7QSQ44555RW3UTVLHLBD,Caramel Frappuccino,60,2025-11-19T03:08:03.315868+00:00,2025-12-11T21:07:27.834977+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
Z6OUJFG2YIB2JHQ7CSBUBZQ6,Vanilla Latte,59,2025-11-19T03:08:24.085941+00:00,2025-12-11T21:12:17.856607+00:00,false,,,,No inventory item maps to this Square catalog ID,75f98829-376e-4e25-856e-ed11ebd1039b,Vanilla Latte,JPOIZDZSWFHU37LNX2D2EXYJ,1.0000
7DCL6LXOCVWWFE7BGM77LTSZ,Burrito Veggie Black Bean,59,2025-11-19T03:08:34.68092+00:00,2025-12-11T21:12:29.1013+00:00,false,,,,No inventory item maps to this Square catalog ID,650e2505-f3cf-4205-81bb-fdb04a4e0b98,Burrito Veggie Black Bean,XW4PSETSS7ES5JOLI4V77FQ2,1.0000
2LZY3YRVJFLPLL2FYW6UDUNZ,Caramel Frappuccino,57,2025-11-19T03:08:02.473563+00:00,2025-12-11T21:12:19.446982+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
S4TYZXS6G372IE6M2WSVCQOY,Chai Tea Latte,57,2025-11-19T03:08:25.82972+00:00,2025-12-11T21:07:25.38189+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
FZFETRHUGMBE5HTUHYI7W352,Cake Pop Birthday Cake,56,2025-11-19T03:16:53.715728+00:00,2025-12-11T21:12:25.872442+00:00,false,,,,No inventory item maps to this Square catalog ID,9281e857-0a18-41fb-8ba6-b1f2503dc154,Cake Pop Birthday Cake,LATKY2V7RFTEA3DDAFSBBR4K,1.0000
W72WWTJYSGQEHLRX54NMMHNP,Savory Croissant,55,2025-11-19T03:07:59.752315+00:00,2025-11-19T03:16:34.574541+00:00,false,,,,No inventory item maps to this Square catalog ID,fc8bbbd9-553c-4ca9-bd88-f2c4acabf715,Savory Croissant,TURPYHLRNRP4Y4E4DQILDFR4,1.0000
W72WWTJYSGQEHLRX54NMMHNP,Savory Croissant,55,2025-11-19T03:07:59.752315+00:00,2025-11-19T03:16:34.574541+00:00,false,,,,No inventory item maps to this Square catalog ID,76cb82b1-b25c-448e-9937-eaebc2c9449e,Croissant,7752NQDQLEPMUMRWBRB344YV,0.7273
W72WWTJYSGQEHLRX54NMMHNP,Savory Croissant,55,2025-11-19T03:07:59.752315+00:00,2025-11-19T03:16:34.574541+00:00,false,,,,No inventory item maps to this Square catalog ID,69a8648c-eca0-44c4-899a-79d0542ed98d,Savory Croissant - Ham & Cheese,N73XQD37SCUNMONYKUUEMQAM,0.7000
FRPWPWKY7VABZ3N36LO2CVJQ,Chai Tea Latte,54,2025-11-19T03:07:57.993981+00:00,2025-12-11T21:07:05.018989+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
JCOTKS6RJPUUS6KPUGDA2S5F,White Chocolate Mocha,54,2025-11-19T03:08:01.919381+00:00,2025-12-11T21:12:26.892263+00:00,false,,,,No inventory item maps to this Square catalog ID,97d47a35-f0ef-4e53-8630-f1a8e551cc1e,Chocolate Chip Cookie,6R5JFN2XMGWRZDL2SP5I53JB,0.6111
JCOTKS6RJPUUS6KPUGDA2S5F,White Chocolate Mocha,54,2025-11-19T03:08:01.919381+00:00,2025-12-11T21:12:26.892263+00:00,false,,,,No inventory item maps to this Square catalog ID,36a6f992-17e9-42b5-a4e5-705ee0478d6a,Chocolate chip cookie,JA4UR77EH3PVQSR3GPQYROPX,0.6111
LYKB4ZTC6I6GBVURE3L34QJN,Cake Pop,54,2025-11-19T03:08:13.819349+00:00,2025-11-19T03:16:21.351486+00:00,false,,,,No inventory item maps to this Square catalog ID,b5659730-2ab2-4c16-9333-8e3ece47aa2f,Cake Pop,LIWXSQMVIGJWEKL4IEPNWPG4,1.0000
LYKB4ZTC6I6GBVURE3L34QJN,Cake Pop,54,2025-11-19T03:08:13.819349+00:00,2025-11-19T03:16:21.351486+00:00,false,,,,No inventory item maps to this Square catalog ID,d1d753e1-7296-4e75-92af-5fcba2a16edb,Cake Pops 3 for $10,MTJ6E7RBFMRGK5A5JO254FUT,0.6316
7GJ4R22WSOTH7UVRGEXTRBDE,Joyba bubble tea,52,2025-11-19T03:09:05.556928+00:00,2025-12-02T03:16:33.833735+00:00,true,eae85825-56a7-4309-8533-4e1995917a57,"Joyba Mango Passionfruit Green Tea Bubble Tea, 12 fl oz (Pack of 4)",2025-12-07T22:46:18.048966+00:00,Mapping exists now; early rows likely imported before inventory item existed,,,,
6R5JFN2XMGWRZDL2SP5I53JB,Chocolate chip cookie,51,2025-11-19T03:07:59.546278+00:00,2025-11-19T03:17:33.424215+00:00,true,97d47a35-f0ef-4e53-8630-f1a8e551cc1e,Chocolate Chip Cookie,2025-11-22T16:21:39.125334+00:00,Mapping exists now; early rows likely imported before inventory item existed,,,,
Q2RN4JEWPCFCLAPS3T7BH5OO,Rich Brownies - Crack Brownie,50,2025-11-19T03:17:01.361915+00:00,2025-12-11T21:12:17.700091+00:00,false,,,,No inventory item maps to this Square catalog ID,1ab24d64-7b67-4bbc-ba74-488b9ba3be2e,Rich Brownies - Crack Brownie,ULDF7F24BO4V4G7WMPKOQZ3R,1.0000
Q2RN4JEWPCFCLAPS3T7BH5OO,Rich Brownies - Crack Brownie,50,2025-11-19T03:17:01.361915+00:00,2025-12-11T21:12:17.700091+00:00,false,,,,No inventory item maps to this Square catalog ID,ad74b505-f330-4cad-af1e-df2f2a756c23,Rich Brownies - M&M Brownie,RKW2RENP6Y5EDRYGPUT2NE5P,0.7391
6ZHWUYR4WIWOINW3TTERAKVO,White Chocolate Mocha,49,2025-11-19T03:07:58.352382+00:00,2025-12-11T21:07:13.355752+00:00,false,,,,No inventory item maps to this Square catalog ID,97d47a35-f0ef-4e53-8630-f1a8e551cc1e,Chocolate Chip Cookie,6R5JFN2XMGWRZDL2SP5I53JB,0.6111
6ZHWUYR4WIWOINW3TTERAKVO,White Chocolate Mocha,49,2025-11-19T03:07:58.352382+00:00,2025-12-11T21:07:13.355752+00:00,false,,,,No inventory item maps to this Square catalog ID,36a6f992-17e9-42b5-a4e5-705ee0478d6a,Chocolate chip cookie,JA4UR77EH3PVQSR3GPQYROPX,0.6111
HV6AYLIVXXBCVSUQ6VN6KJAT,Cafe Latte,49,2025-11-19T03:08:15.972929+00:00,2025-12-11T21:12:15.712784+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
N4RHIPJPBE2GWM2KU2IYUGXL,Snickerdoodle Cookie,48,2025-11-19T03:08:15.456249+00:00,2025-12-11T21:12:23.039078+00:00,false,,,,No inventory item maps to this Square catalog ID,50739250-0cfa-445e-b5e9-b940aee2eaf6,Snickerdoodle Cookie,5EL7ZZ676J7XYPX3VONSDFJN,1.0000
HJA472MAOA2BMNJ66SE6B5JP,Burrito Bacon,47,2025-11-19T03:08:18.820177+00:00,2025-11-19T03:17:25.708978+00:00,true,e84b6edc-550c-4d9e-a505-4edea980a1a7,"Dis Burrito Breakfast Burrito - Bacon, 12pk",2025-12-02T01:24:19.924594+00:00,Mapping exists now; early rows likely imported before inventory item existed,,,,
N4NEOAXI5E77IT6B6EASBUCC,Chai Tea Latte,46,2025-11-19T03:08:29.52198+00:00,2025-12-11T21:12:27.259566+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
FCIAND7GTIFCVV2EZUM7JUXF,Iced Brown Sugar Oat Shaken Espresso,43,2025-11-19T03:07:59.752315+00:00,2025-12-11T16:49:45.631316+00:00,false,,,,No inventory item maps to this Square catalog ID,8ad45278-3580-44c5-914d-2f8fe1b19c80,Iced Brown Sugar Oat Shaken Espresso,2UCPPRMYHYZAYCKBFW7VJHF5,1.0000
ZBNL4SCLZF3M7TV655E35G5O,Coke Bottle,43,2025-11-19T03:08:43.346851+00:00,2025-12-11T21:12:27.647699+00:00,false,,,,No inventory item maps to this Square catalog ID,e1b30c35-709a-49fd-9d67-fd7dacedc972,Coke Bottle,EQIGYO6L5OUWXCJYH3KJ3XBY,1.0000
2GSUHZIZRUGZ4AJID4YN3OLX,Coffee cake,42,2025-11-19T03:08:17.388991+00:00,2025-12-11T21:07:07.066337+00:00,false,,,,No inventory item maps to this Square catalog ID,ba15f927-c2c2-4e6e-a524-417ac8ea0dc4,Coffee cake,HSOLOJSBXTSHZZ3KVNHYYZTF,1.0000
3K3R2KTO5CCTZYEOMRI3EHJC,Burrito Sausage,41,2025-11-19T03:08:09.625606+00:00,2025-11-19T03:17:09.007302+00:00,true,6ace8231-bbbf-468f-81c8-2d621d32b925,"Dis Burrito Breakfast Burrito - Pork Breakfast Sausage, 12pk",2025-12-02T01:25:50.205097+00:00,Mapping exists now; early rows likely imported before inventory item existed,,,,
FMXCM3IVS3Q7Q4XQVYVI27R5,Kind Bar,40,2025-11-19T03:08:00.223554+00:00,2025-12-11T21:12:26.546629+00:00,false,,,,No inventory item maps to this Square catalog ID,145b56bb-10ed-464f-95e3-5185a616f25d,Kind Bar,F2AAYYGC6YALGU2GW37XNPHF,1.0000
FMXCM3IVS3Q7Q4XQVYVI27R5,Kind Bar,40,2025-11-19T03:08:00.223554+00:00,2025-12-11T21:12:26.546629+00:00,false,,,,No inventory item maps to this Square catalog ID,bc00f39e-a2e3-4b3b-aef0-c68c5bb10411,Kind Bar Mini,N2TGAM7G6TS2ORQS7MP3UBUZ,0.7500
EO4TTBCD5PGYWFH4GHHPWSUS,Caramel Macchiato,38,2025-11-19T03:08:00.886704+00:00,2025-12-11T21:12:24.885642+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
57UL6AYRUZSQBGHL3ONGTO5N,Berry Peachy Lotus,38,2025-11-19T03:08:42.319462+00:00,2025-12-11T21:07:18.468947+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
EF77FEOKLRXM7PUONSDGGISY,Fig Bar,37,2025-11-19T03:08:11.060068+00:00,2025-12-11T21:12:16.726895+00:00,false,,,,No inventory item maps to this Square catalog ID,5a32e599-3c45-4c13-954d-2245dedc235d,Fig Bar,VQLULL7GKGTZOZV5BPBUISNM,1.0000
4TN7BCSDPYTFUG27OUAXTC3Q,Freshly Brewed Coffee,37,2025-11-19T03:08:54.346869+00:00,2025-12-11T21:12:25.035474+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
2HJT4BQHOEDUHA7VCOAWUMBZ,Kind Bar Mini,36,2025-11-19T03:10:06.138455+00:00,2025-12-11T21:07:27.355462+00:00,false,,,,No inventory item maps to this Square catalog ID,bc00f39e-a2e3-4b3b-aef0-c68c5bb10411,Kind Bar Mini,N2TGAM7G6TS2ORQS7MP3UBUZ,1.0000
2HJT4BQHOEDUHA7VCOAWUMBZ,Kind Bar Mini,36,2025-11-19T03:10:06.138455+00:00,2025-12-11T21:07:27.355462+00:00,false,,,,No inventory item maps to this Square catalog ID,145b56bb-10ed-464f-95e3-5185a616f25d,Kind Bar,F2AAYYGC6YALGU2GW37XNPHF,0.7500
DHTMQ4JBCNTOVAQH5IJNCP3R,Pumpkin Spice latte,35,2025-12-02T03:11:30.651296+00:00,2025-12-11T21:12:19.605384+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
FIZXN63MVPOCA4SI2LSMBOWM,Cafe Mocha,34,2025-11-19T03:08:02.912352+00:00,2025-12-11T21:07:10.204446+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
HE4CJYWXRVTKFGP72TXLA2LZ,Matcha Green Tea Latte,34,2025-11-19T03:09:31.34134+00:00,2025-12-11T21:12:15.55432+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
QYRXKXU6ZYBW7RHRJJJVB6LE,Rich Brownies,33,2025-11-19T03:12:05.664133+00:00,2025-12-11T16:49:54.197416+00:00,false,,,,No inventory item maps to this Square catalog ID,3813d840-1c96-448d-a612-7042c0d8e2a4,Brownie,WOKPDBYPFSOCYBXF6JY5YI26,0.7059
QYRXKXU6ZYBW7RHRJJJVB6LE,Rich Brownies,33,2025-11-19T03:12:05.664133+00:00,2025-12-11T16:49:54.197416+00:00,false,,,,No inventory item maps to this Square catalog ID,1ab24d64-7b67-4bbc-ba74-488b9ba3be2e,Rich Brownies - Crack Brownie,ULDF7F24BO4V4G7WMPKOQZ3R,0.6471
QYRXKXU6ZYBW7RHRJJJVB6LE,Rich Brownies,33,2025-11-19T03:12:05.664133+00:00,2025-12-11T16:49:54.197416+00:00,false,,,,No inventory item maps to this Square catalog ID,ad74b505-f330-4cad-af1e-df2f2a756c23,Rich Brownies - M&M Brownie,RKW2RENP6Y5EDRYGPUT2NE5P,0.6471
6ZCR77YUMKXESH3M57WFYELL,Celsius,31,2025-11-19T03:08:09.308738+00:00,2025-12-11T21:12:19.91699+00:00,false,,,,No inventory item maps to this Square catalog ID,7db1bd91-671f-4cda-b4ee-5bdfa51d5834,Celsius,LF3NWV6JS3UF7E526OJJDZQA,1.0000
K36TJ6X7EIL53GA7EWM4T2SZ,Mango Dragonfruit,31,2025-11-19T03:08:10.705503+00:00,2025-12-11T21:07:16.768278+00:00,false,,,,No inventory item maps to this Square catalog ID,,,,
